NumId,Word,Category,Role,Definition1,Definition2,Example1,Example2,Example3,Example4,Example5,BengaliDef,BengaliEx1,BengaliEx2,BengaliEx3,RefWord,Level
1,Proclivity,1,Common Noun,A natural tendency or inclination towards something.,,His proclivity for exaggeration made it hard to trust him.,,,,,কিছু করার/হওয়ার/ঘটার সাধারণ প্রবনতা,,,,,0
1,Tendency,1,Common Noun,An inclination towards a particular kind of thought or action.,,She had a tendency to overthink every decision.,,,,,ঝোঁক; কোনো নির্দিষ্ট দিকে স্বাভাবিকভাবে ঝুঁকে পড়ার প্রবণতা।,,,,,0
1,Inclination,1,Common Noun,,,,,,,,,,,,,0
1,Propensity,1,Common Noun,A natural tendency to behave in a particular way.,"Propensity is more commonly used for event/situations, in cases of referring to a certain bias in probability of outcomes.",Her propensity for kindness was evident to all who knew her.,"The propensity of an accident will surge immediately if the authorities remove the 5th, seemingly superfluous pillar.",,,,,,,,,1
1,Predilection,1,Common Noun,,,,,,,,,,,,,1
2,Relegation,1,Common Noun,The action of assigning an inferior rank or position to someone.,,,,,,,,,,,,2
2,Demotion,1,Common Noun,A reduction in rank or status.,,The demotion came as a shock to everyone in the department.,,,,,,,,,,0
2,Degradation,1,Common Noun,The process of reducing something to a lower or worse state.,,The degradation of the environment was visible even from a distance.,,,,,,,,,,0
-2,Promotion,1,Common Noun,The act of raising someone to a higher position or rank.,,,,,,,,,,,,0
-2,Elevation,1,Common Noun,The raising of something to a higher position or status.,,The elevation of local talent was central to the festival's mission.,,,,,,,,,,0
3,Tamper,1,Transitive Verb,"To interfere with something without authorisation, often causing damage.",,,,,,,,,,,,0
3,Tinker,1,Transitive Verb,"To make small adjustments to something, often without clear purpose.",,He tinkered with the engine for hours but fixed nothing.,,,,,,,,,,3
3,Meddle,1,Intransitive Verb,To interfere in someone else's concerns without being asked.,,She had a habit of meddling in affairs that were not hers.,,,,,,,,,,0
3,Fiddle,1,Intransitive Verb,To touch or adjust something restlessly or without purpose.,,Stop fiddling with the settings are you are making it worse.,,,,,,,,,,3
3.1,Fondle,1,Transitive Verb,"To touch, toy and explore something clumsily with hands",,Did you expect a 5yr old to not fondle the cheeks of her baby brother???,,,,,"অলস, উদ্দেশ্যহীনভাবে হাত দিয়ে কিছু ঘাটা",,,,,
4,Strengthen,1,Transitive Verb,To make something stronger or more secure.,,Regular exercise will strengthen both your body and your resolve.,,,,,,,,,,0
4,Fortify,1,Transitive Verb,To make a place or structure stronger and more resistant.,,They worked through the night to fortify the defences.,,,,,,,,,,1
4,Reinforce,1,Transitive Verb,"To support and strengthen something, especially a structure or argument.",,New evidence only reinforced his original theory.,,,,,,,,,,0
4,Bolster,1,Transitive Verb,To support or strengthen something that needs it.,,The new investment bolstered confidence in the company.,,,,,,,,,,0
-4,Weaken,1,Transitive Verb,To make something less strong or less powerful.,,,,,,,,,,,,0
-4,Undermine,1,Transitive Verb,To erode or damage something gradually and often covertly.,,,,,,,,,,,,0
-4,Debilitate,1,Transitive Verb,To make someone so weak that they are unable to function normally.,,The illness debilitated him for weeks after the initial diagnosis.,The monsoon storms debilitated the early-stage port infrastructure that the British managed to setup.,,,,দুর্বল ও অকেজো করে দেওয়া।,,,,,1
-4,Enfeeble,1,Transitive Verb,To make weak or feeble; to deprive of strength.,,Years of neglect had enfeebled the once proud institution.,,,,,,,,,,1
5,Hubris,1,Common Noun,"Excessive pride or self-confidence, often leading to downfall.",,"It was hubris, not incompetence, that destroyed his political career.",,,,,"অতিরিক্ত আত্মবিশ্বাস বা অহংকার, যা শেষ পর্যন্ত পতন ডেকে আনে।",,,,,1
5,Arrogance,1,Common Noun,An exaggerated sense of one's own importance or abilities.,,His arrogance in the meeting left the clients visibly annoyed.,,,,,ঔদ্ধত্য; নিজেকে অন্যের চেয়ে অনেক বড় মনে করার স্বভাব।,তার ঔদ্ধত্যপূর্ণ আচরণ সবাইকে বিরক্ত করেছিল।,,,,0
5,Conceit,1,Common Noun,Excessively high opinion of one's own merit or abilities.,,Her conceit blinded her to the obvious flaws in her plan.,,,,,আত্মম্ভরিতা; নিজের গুণ বা মেধা সম্পর্কে অতিরিক্ত উচ্চ ধারণা।,তার আত্মম্ভরিতা তাকে নিজের ভুল দেখতে দেয়নি।,,,,0
5,Vanity,1,Common Noun,Excessive pride in one's appearance or achievements.,,His vanity was most evident in the way he reacted to criticism.,Her vanity is all that there is about herself.,,,,"Vanity বলতে মূলত এমন এক প্রকার আত্মাভিমান ও অহমকে বোঝায়, যাহা মূলত একজন নারীর মধ্যে তার রূপ, যৌবন, ঐশ্বর্য এবং প্রতিপত্তিকে কেন্দ্র করে গড়ে ওঠে, এবং স্বভাবগতভাবে সাধারণ অহংকার রূপে প্রকাশ পায়।",,,,,0
-5,Humility,1,Common Noun,A modest and respectful view of one's own importance.,,True humility is rare among those who have tasted great success.,,,,,বিনয়; নিজের সম্পর্কে অতিরিক্ত গর্ব না করার স্বভাব।,,,,,0
-5,Modesty,1,Common Noun,The quality of not boasting about one's abilities or achievements.,,,,,,,,,,,,0
6,Squander,1,Transitive Verb,To waste something valuable in a reckless or foolish manner.,,He squandered his inheritance on ventures that never paid off.,,,,,"অপচয় করা; অর্থ, সময় বা সুযোগ বেহিসাবিভাবে নষ্ট করা।",সে পুরো সম্পত্তি এমন ব্যবসায় অপচয় করল যেগুলো কখনো কাজে আসেনি।,প্রতিভা থাকলেই হবে না — সেটা অপচয় না করে সঠিকভাবে ব্যবহার করতে হবে।,সুযোগ একবার অপচয় হলে আর ফিরে আসে না।,,0
6,Fritter,1,Transitive Verb,,,,,,,,,,,,,3
6,Dissipate,1,Transitive Verb,"To waste energy, resources, or attention on worthless things.",,His talent was dissipated by years of poor choices.,,,,,,,,,,1
-6,Conserve,1,Transitive Verb,To use resources carefully to avoid waste.,,We must conserve water during periods of drought.,,,,,,,,,,0
-6,Preserve,1,Transitive Verb,To maintain something in its original state or in good condition.,,Efforts to preserve the old library were finally bearing fruit.,,,,,,,,,,0
7,Pugnacious,1,Adjective,"Eager and ready to argue, fight or quarrel.",Characterized by an aggressive or quarrelsome nature.,His pugnacious attitude had cost him several friendships.,,,,,"সাধারণ ""খিটখিটে""-ভাব নয়; Pugnacious বলতে এমন একটা স্বভাব (আচরণ নয়) বোঝায়, যেন উক্ত ব্যক্তি অল্প কিছুতেই পুরোপুরি মারামারি করতে প্রস্তুত, এমন একটা মেজাজে থাকেন।",,,,,1
7,Belligerent,1,Adjective,"Hostile and aggressive, especially in manner or attitude.",,The belligerent tone of his reply surprised even his allies.,,,,,"মানুষকে রাগীয়ে দেওয়ার মতো তিক্ত, গাঁ-জ্বালানো আক্রমনাত্মক স্বর/স্বভাব।",,,,,0
7.1,Combative,1,Adjective,Ready and willing to fight or argue.,,,,,,,,,,,,0
7.1,Defensive,1,Adjective,An attitude trying to actively defend your vulnerabilities.,,She went defensive immediately when I probed in her precise whereabouts.,,,,,,,,,,
7,Contentious,1,Adjective,,,,,,,,,,,,,1
-7,Placid,1,Adjective,Not easily upset or excited; calm and peaceful.,,,,,,,,,,,,0
-7,Conciliatory,1,Adjective,Intended to make peace or reduce hostility.,,He adopted a conciliatory tone in his follow-up message.,,,,,,,,,,1
8,Enrapture,1,Transitive Verb,,,,,,,,,,,,,1
8,Captivate,1,Transitive Verb,,,,,,,,,,,,,0
8,Enthrall,1,Transitive Verb,To hold the fascination of someone completely.,,The documentary enthralled viewers with its stunning visuals.,,,,,একেবারে মোহিত করে দেওয়া। ,,,,,0
8,Mesmerise,1,Transitive Verb,To hold someone spellbound; to fascinate irresistibly.,,,,,,,,,,,,0
-8,Repel,1,Transitive Verb,To cause someone to feel strong disgust or dislike.,,The graphic images repelled even the most seasoned observers.,,,,,,,,,,0
-8,Repulse,1,Transitive Verb,,,,,,,,,,,,,0
9,Fulminate,1,Intransitive Verb,"To express vehement protest or condemnation, especially in writing.",,The columnist fulminated against the new policy in his weekly piece.,,,,,,,,,,1
9,Fume,1,Intransitive Verb,,,,,,,,,,,,,3
9,Inveigh,1,Intransitive Verb,,,,,,,,,,,,,1
9,Vituperate,1,Transitive Verb,To blame or criticise someone in harsh language.,,She vituperated the committee for its indifference to the crisis.,,,,,,,,,,1
-9,Commend,1,Transitive Verb,To formally praise or recommend someone.,,,,,,,,,,,,0
-9,Extol,1,Transitive Verb,To praise enthusiastically and at length.,,Critics extolled the novel as the finest of the decade.,,,,,,,,,,1
10,Contrive,1,Transitive Verb,,,,,,,,,,,,,0
10,Machinate,1,Intransitive Verb,"To plan or plot secretly, especially with intent to deceive.",,He was suspected of machinating behind the scenes for months.,,,,,,,,,,1
10,Manoeuvre,1,Transitive Verb,To move or guide someone skillfully and carefully.,,She manoeuvred the conversation towards a more comfortable topic.,,,,,,,,,,0
-10,Bungle,1,Transitive Verb,To carry out badly or clumsily; to mismanage.,,He completely bungled the introduction and set the wrong tone.,,,,,,,,,,3
-10,Fumble,1,Transitive Verb,,,,,,,,,,,,,3
11,Ascetic,1,Adjective,,,,,,,,,,,,,1
11,Austere,1,Adjective,,,,,,,,,,,,,0
11,Spartan,1,Adjective,,,,,,,,,,,,,2
11,Frugal,1,Adjective,Careful with money or resources; avoiding waste or luxury.,,He was so frugal that he repaired his shoes three times before buying new ones.,,,,,মিতব্যয়ী; অপচয় না করে সাবধানে খরচ করেন এমন।,তিনি এতটাই মিতব্যয়ী ছিলেন যে নতুন কিছু কেনার আগে তিনবার ভাবতেন।,,,,0
-11,Debauched,1,Adjective,"Indulging excessively in pleasure, especially of a sensual kind.",,The debauched lifestyle of the elite was an open secret.,,,,,,,,,,1
-11,Indulgent,1,Adjective,Willing to allow or tolerate excessive pleasure or desire.,,Indulgent parents often struggle when their children reach adolescence.,,,,,,,,,,0
-11,Dissolute,1,Adjective,Lacking moral restraint; given to immoral or vicious habits.,,His dissolute years were a stark contrast to his later reputation.,,,,,"চরিত্রহীন। রীতিমতো অনৈতিক, অভব্য ও অসৎ কাজ করতে যার বিবেকে বাঁধে না।",,,,,1
12,Impetuous,1,Adjective,Acting or done quickly and without thought; impulsive.,,His impetuous decision to resign left everyone scrambling.,,,,,"বিবেচনা না করেই, খামখেয়ালি কাজ করে ফেলা।",,,,,0
12,Impulsive,1,Adjective,,,,,,,,,,,,,0
12,Rash,1,Adjective,,,,,,,,,,,,,0
12,Precipitous,1,Adjective,Done without deliberation; dangerously hasty.,,A precipitous decision could unravel everything they had built.,,,,,,,,,,1
-12,Prudent,1,Adjective,,,,,,,,,,,,,0
-12,Circumspect,1,Adjective,Wary and unwilling to take risks; careful about all circumstances.,,She was circumspect in her dealings with the new client.,,,,,সতর্ক ও সুচিন্তিত; যেকোনো পদক্ষেপ নেওয়ার আগে সব দিক ভেবে দেখেন এমন।,"তিনি সতর্কভাবে প্রতিটি সিদ্ধান্ত নিতেন, কোনো কিছু তাড়াহুড়ো করে করতেন না।",এই পরিস্থিতিতে সতর্ক থাকাটাই বুদ্ধিমানের কাজ।,,,1
-12,Deliberate,1,Adjective,Done consciously and intentionally; carefully considered.,,Every word in his speech was deliberate and precisely chosen.,,,,,,,,,,0
13,Intrepid,1,Adjective,,,,,,,,,,,,,1
13,Dauntless,1,Adjective,Showing fearlessness and determination.,,,,,,,,,,,,1
13,Valiant,1,Adjective,Possessing great courage; heroic.,,"A valiant effort was made, even though victory slipped away.",,,,,শৌর্যবান,,,,,1
13,Audacious,1,Adjective,Showing a willingness to take bold risks.,,"It was an audacious plan, but it worked.",,,,,,,,,,0
-13,Timid,1,Adjective,,,,,,,,,,,,,0
-13,Cowardly,1,Adjective,Lacking courage and showing shameful fear.,,The cowardly act of fleeing responsibility shocked everyone.,,,,,,,,,,0
14,Benevolent,1,Adjective,,,,,,,,,,,,,0
14,Magnanimous,1,Adjective,,,,,,,,,,,,,1
14,Munificent,1,Adjective,More generous than is usual or expected.,,,,,,,,,,,,1
14,Philanthropic,1,Adjective,"Concerned with the welfare of others, especially through charitable giving.",,His philanthropic activities grew after he sold the business.,,,,,,,,,,2
-14,Miserly,1,Adjective,Unwilling to spend money; extremely mean with money.,,,,,,,,,,,,0
-14,Parsimonious,1,Adjective,Extremely unwilling to spend money or use resources.,,Her parsimonious nature became a source of friction at home.,,,,,,,,,,1
-14,Niggardly,1,Adjective,"Ungenerous with money, time, or resources; grudgingly stingy.",,He was niggardly with praise even when it was clearly deserved.,,,,,,,,,,1
15,Loquacious,1,Adjective,Tending to talk a great deal; talkative.,,The loquacious host made sure no awkward silences could form.,,,,,বাচাল; সীমাহীন কথা বলার স্বভাব।,সে এতটাই বাচাল যে পাঁচ মিনিটের মিটিং তার কারণে এক ঘণ্টায় পরিণত হয়।,বাচাল মানুষের পাশে বসলে নিজে কথা বলার সুযোগ পাওয়া কঠিন।,,,1
15,Garrulous,1,Adjective,"Excessively talkative, especially on trivial matters.",,His garrulous aunt could talk for hours about nothing.,,,,,,,,,,1
15,Voluble,1,Adjective,Talking fluently and at length.,,,,,,,,,,,,1
-15,Taciturn,1,Adjective,Reserved or uncommunicative in speech; saying little.,,He was so taciturn that a two-word reply was considered generous.,,,,,স্বভাবতই কম কথা বলেন এমন।,,,,,1
-15,Reticent,1,Adjective,Not revealing one's thoughts or feelings readily.,,"She was reticent about her past, and no one pressed her on it.",,,,,,,,,,0
-15,Laconic,1,Adjective,Using very few words; brief and concise in expression.,,His laconic response â just 'no' â closed the discussion entirely.,,,,,,,,,,1
16,Mundane,1,Adjective,Lacking interest or excitement; dull and ordinary.,,He found the mundane aspects of the job increasingly hard to bear.,,,,,,,,,,0
16,Banal,1,Adjective,,,,,,,,,,,,,1
16,Prosaic,1,Adjective,Having the style of prose; lacking imaginativeness or creativity.,,His prosaic manner of speaking never matched the ambition of his ideas.,,,,,গদ্যময়,,,,,1
16,Pedestrian,1,Adjective,Lacking inspiration or excitement; dull and ordinary.,,,,,,,,,,,,2
-16,Riveting,1,Adjective,Completely engrossing; holding one's complete attention.,,The documentary was so riveting that no one moved for two hours.,,,,,,,,,,0
-16,Captivating,1,Adjective,Capable of attracting and holding interest and attention.,,Her captivating personality lit up the room the moment she entered.,,,,,,,,,,0
17,Lament,1,Transitive Verb,"To express grief, sorrow or regret about something.",,She lamented the passing of a more courteous age.,,,,,বিলাপ করা বা গভীর দুঃখ প্রকাশ করা।,"সে হারানো সুযোগের জন্য মনে মনে বিলাপ করত, কিন্তু মুখে কিছু বলত না।",কবিতাটিতে একটি হারিয়ে যাওয়া যুগের জন্য গভীর বিলাপ ছিল।,বিলাপ করে সময় নষ্ট না করে এগিয়ে যাওয়াটাই ভালো।,,0
17,Bemoan,1,Transitive Verb,To express discontent or sorrow over something.,,He bemoaned the lack of decent bookshops in the city.,,,,,,,,,,0
17,Deplore,1,Transitive Verb,To feel or express strong disapproval or sadness about something.,,Every right-thinking person deplores such acts of cruelty.,,,,,তীব্র নিন্দা করা বা গভীর দুঃখ প্রকাশ করা।,তিনি ঘটনাটিকে তীব্রভাবে নিন্দা করলেন এবং তদন্তের দাবি জানালেন।,,,,0
-17,Celebrate,1,Transitive Verb,,,,,,,,,,,,,0
-17,Rejoice,1,Intransitive Verb,To feel or show great joy or delight.,,She rejoiced at the news of her brother's safe return.,,,,,,,,,,0
18,Evasive,1,Adjective,Tending to avoid commitment or give direct answers.,,His evasive answers only deepened their suspicion.,,,,,এড়িয়ে চলার ভঙ্গি; সরাসরি উত্তর না দিয়ে ঘুরিয়ে-পেঁচিয়ে কথা বলেন এমন।,তার এড়িয়ে চলা উত্তরগুলো সন্দেহ আরও বাড়িয়ে দিল।,এড়িয়ে চলার ভঙ্গি অনেক সময় সরাসরি মিথ্যার চেয়ে বেশি ক্ষতিকর।,,,0
18,Equivocal,1,Adjective,,,,,,,,,,,,,1
18,Ambiguous,1,Adjective,Open to more than one interpretation; unclear in meaning.,,The contract contained several ambiguous clauses.,,,,,"দ্ব্যর্থবোধক; একাধিক অর্থ বহন করে এমন, ফলে বিভ্রান্তি তৈরি হয়।",চুক্তির শর্তগুলো এতটাই দ্ব্যর্থবোধক ছিল যে উভয় পক্ষ নিজের মতো ব্যাখ্যা করেছিল।,অস্পষ্ট নির্দেশ দিলে কাজ ঠিকভাবে হওয়া কঠিন।,,,0
-18,Candid,1,Adjective,Truthful and straightforward; not hiding one's opinions.,,"She appreciated his candid assessment, even if it was hard to hear.",,,,,খোলামেলা ও সৎ; মনের কথা সরাসরি বলতে পারেন এমন।,,,,,0
-18,Forthright,1,Adjective,,,,,,,,,,,,,0
-18,Unequivocal,1,Adjective,Leaving no doubt; clear and unambiguous.,,The unequivocal verdict put the matter to rest.,,,,,,,,,,1
19,Recalcitrant,1,Adjective,Obstinately refusing to obey or cooperate with authority.,,The recalcitrant student refused every attempt at engagement.,,,,,বেয়াড়া; কর্তৃপক্ষের নির্দেশ মানতে একগুঁয়েভাবে অস্বীকার করেন এমন।,বেয়াড়া ছাত্রটিকে সামলানো শিক্ষকের জন্য সত্যিই কঠিন হয়ে উঠেছিল।,,,,1
19,Obstinate,1,Adjective,Stubbornly refusing to change opinion or course of action.,,He remained obstinate in his refusal despite overwhelming evidence.,,,,,একগুঁয়ে; যুক্তিতর্ক বা প্রমাণ দিয়েও যাকে মত পরিবর্তন করানো যায় না।,এত প্রমাণ দেখার পরও সে একগুঁয়ের মতো নিজের অবস্থানে অটল রইল।,একগুঁয়ে মানুষের সাথে তর্ক করা সময় নষ্ট।,তার একগুঁয়েমি দলের সামনে এগিয়ে যাওয়ার পথ বন্ধ করে দিয়েছিল।,,0
19,Intractable,1,Adjective,Hard to control or deal with; stubbornly persistent.,,,,,,,,,,,,1
19,Obdurate,1,Adjective,,,,,,,,,,,,,1
-19,Amenable,1,Adjective,,,,,,,,,,,,,1
-19,Compliant,1,Adjective,Meeting or acting in accordance with rules or wishes.,,The compliant attitude of the new team made collaboration easy.,,,,,,,,,,0
-19,Acquiescent,1,Adjective,Ready to accept something without protest or resistance.,,,,,,,,,,,,1
20,Opulent,1,Adjective,Ostentatiously rich and luxurious or lavish.,,The opulent interiors of the palace left visitors speechless.,,,,,,,,,,1
20,Lavish,1,Adjective,"Sumptuously rich, elaborate, or luxurious.",,She threw a lavish party to mark the occasion.,,,,,,,,,,0
20,Sumptuous,1,Adjective,Splendid and expensive-looking; impressively grand.,,The sumptuous meal was a fitting end to the evening.,,,,,,,,,,1
20,Extravagant,1,Adjective,Lacking restraint in spending; exceeding reasonable limits.,,His extravagant lifestyle was unsustainable on a teacher's salary.,,,,,,,,,,0
-20,Austere,1,Adjective,,,,,,,,,,,,,0
-20,Frugal,1,Adjective,Simple and plain; avoiding waste.,,She decorated the room in a frugal but tasteful style.,,,,,মিতব্যয়ী; অপচয় না করে সাবধানে খরচ করেন এমন।,তিনি এতটাই মিতব্যয়ী ছিলেন যে নতুন কিছু কেনার আগে তিনবার ভাবতেন।,,,,0
21,Ostentatious,1,Adjective,Characterised by a vulgar display of wealth and a desire to impress.,,The ostentatious display of jewellery was in poor taste at the funeral.,,,,,,,,,,1
21,Flamboyant,1,Adjective,"Attracting attention because of confidence, exuberance, and stylishness.",,His flamboyant entrance made the evening far more interesting.,,,,,,,,,,0
21,Garish,1,Adjective,Obtrusively bright and showy; luridly colourful.,,The garish decor clashed with everything else in the building.,,,,,,,,,,3
-21,Understated,1,Adjective,"Presented or expressed in a subtle, restrained style.",,Her understated elegance was more striking than any loud display.,,,,,,,,,,0
-21,Unassuming,1,Adjective,,,,,,,,,,,,,0
22,Tenacious,1,Adjective,Tending to hold firmly to something; persistent and determined.,,"She was tenacious in her pursuit of the story, refusing to give up.",,,,,লক্ষ্যে অবিচল; যত বাধাই আসুক হাল ছাড়েন না এমন।,এত প্রত্যাখ্যানের পরও সে অবিচলভাবে চেষ্টা করে গেল।,অবিচল থাকার গুণটাই তাকে বাকিদের থেকে আলাদা করেছিল।,সাফল্যের পেছনে প্রতিভার চেয়ে অবিচল পরিশ্রমের ভূমিকা বেশি।,,0
22,Dogged,1,Adjective,,,,,,,,,,,,,0
22,Indefatigable,1,Adjective,,,,,,,,,,,,,1
22,Steadfast,1,Adjective,Resolutely firm and unwavering in purpose.,,She remained steadfast in her beliefs despite enormous pressure.,,,,,,,,,,0
-22,Fickle,1,Adjective,,,,,,,,,,,,,0
-22,Vacillate,1,Intransitive Verb,To waver between different opinions or actions; to be indecisive.,,,,,,,,,,,,1
23,Alacrity,1,Common Noun,Brisk and cheerful readiness to do something.,,She accepted the assignment with such alacrity it surprised everyone.,,,,,"উৎসাহের সাথে, সানন্দে প্রস্তুত হওয়া।",,,,,1
23,Zeal,1,Common Noun,Great energy or enthusiasm in pursuit of a cause or objective.,,His zeal for reform was evident in every speech he gave.,,,,,উদ্যম; কোনো লক্ষ্যের প্রতি তীব্র উৎসাহ ও নিষ্ঠা।,"সে যে উদ্যম নিয়ে কাজ শুরু করেছিল, তা দলের বাকিদেরও অনুপ্রাণিত করেছিল।",,,,0
23,Ardour,1,Common Noun,Enthusiasm or passion.,,The ardour with which she pursued her research was infectious.,,,,,,,,,,1
-23,Apathy,1,Common Noun,"Lack of interest, enthusiasm, or concern.",,Voter apathy reached a record high in the last election.,,,,,,,,,,0
-23,Indolence,1,Common Noun,Laziness; aversion to activity or exertion.,,,,,,,,,,,,1
-23,Lethargy,1,Common Noun,A lack of energy and enthusiasm; sluggishness.,,A sense of lethargy had settled over the office after the news.,,,,,,,,,,0
24,Sycophant,1,Common Noun,A person who acts obsequiously to gain advantage; a flatterer.,,"The boardroom was full of sycophants, none willing to challenge him.",,,,,চাটুকার; নিজের সুবিধার জন্য যে ব্যক্তি অন্যের তোষামোদ করেন।,,,,,1
24,Toady,1,Common Noun,A person who behaves obsequiously to someone influential.,,He surrounded himself with toadies who told him only what he wanted to hear.,,,,,,,,,,3
24,Flatterer,1,Common Noun,,,,,,,,,,,,,0
-24,Critic,1,Common Noun,,,,,,,,,,,,,0
25,Repudiate,1,Transitive Verb,To refuse to accept or be associated with; to reject firmly.,,He publicly repudiated the values he had once championed.,,,,,সম্পূর্ণভাবে প্রত্যাখ্যান করা; কোনো কিছুর সাথে সম্পর্ক অস্বীকার করা।,তিনি প্রকাশ্যে দলের সিদ্ধান্ত প্রত্যাখ্যান করলেন।,,,,1
25,Renounce,1,Transitive Verb,"To formally declare abandonment of a claim, right, or possession.",,She renounced her citizenship in protest against the new laws.,,,,,,,,,,0
25,Disavow,1,Transitive Verb,,,,,,,,,,,,,1
-25,Endorse,1,Transitive Verb,To declare public approval or support for something.,,The committee formally endorsed the proposal with only two abstentions.,,,,,,,,,,0
-25,Ratify,1,Transitive Verb,To give formal consent or approval to; to make officially valid.,,All member states ratified the treaty within the year.,,,,,,,,,,2
26,Prevaricate,1,Intransitive Verb,To speak or act evasively; to avoid stating the truth plainly.,,He prevaricated so skillfully that no one quite caught him in a lie.,,,,,,,,,,1
26,Equivocate,1,Intransitive Verb,To use ambiguous language to avoid committing to one position.,,Politicians equivocate â it is practically a professional requirement.,,,,,,,,,,1
26,Hedge,1,Intransitive Verb,,,,,,,,,,,,,3
-26,Affirm,1,Transitive Verb,To state emphatically or publicly; to assert as a fact.,,He affirmed his commitment to the cause without any qualification.,,,,,,,,,,0
-26,Avow,1,Transitive Verb,To assert or confess openly; to declare publicly.,,She avowed her support for the candidate without hesitation.,,,,,,,,,,1
27,Pernicious,1,Adjective,"Having a harmful effect, especially in a gradual or subtle way.",,The pernicious effects of misinformation take years to undo.,,,,,ধীরে ধীরে এবং সূক্ষ্মভাবে ক্ষতি করে এমন।,,,,,1
27,Detrimental,1,Adjective,Tending to cause harm; damaging.,,,,,,,,,,,,0
27,Deleterious,1,Adjective,"Causing harm or damage, especially to health.",,,,,,,,,,,,1
27,Injurious,1,Adjective,,,,,,,,,,,,,2
-27,Salutary,1,Adjective,"Producing good effects; beneficial, especially after something unpleasant.",,The defeat had a salutary effect â the team trained harder than ever.,,,,,,,,,,1
-27,Benign,1,Adjective,Gentle and kindly; not harmful in effect.,,The new policy had an unexpectedly benign impact on trade.,,,,,,,,,,0
28,Egregious,1,Adjective,Outstandingly bad; shockingly obvious in a negative way.,,It was an egregious error â the kind that ends careers.,,,,,,,,,,1
28,Flagrant,1,Adjective,,,,,,,,,,,,,0
28,Blatant,1,Adjective,Done openly and unashamedly; obvious to all.,,His blatant lie was all the more surprising for how poorly it was told.,,,,,,,,,,0
-28,Inconspicuous,1,Adjective,Not clearly visible or attracting attention; not prominent.,,,,,,,,,,,,0
29,Languish,1,Intransitive Verb,To lose or lack vitality; to suffer from being in an unsatisfactory situation.,,The project languished for two years before anyone took it seriously.,,,,,নিস্তেজ হয়ে পড়া; প্রাণশক্তি হারিয়ে ধীরে ধীরে ক্ষয় পাওয়া।,,,,,0
29,Stagnate,1,Intransitive Verb,"To become inactive, dull or stagnant through lack of activity or development.",,,,,,,,,,,,0
29,Wither,1,Intransitive Verb,To become dry and shrunken; to fade through lack of nourishment.,,"Without support, even the strongest ambitions can wither.",,,,,,,,,,0
-29,Flourish,1,Intransitive Verb,,,,,,,,,,,,,0
-29,Thrive,1,Intransitive Verb,To prosper and grow; to do well.,,Children thrive when they feel seen and heard.,,,,,,,,,,0
30,Truculent,1,Adjective,Eager or quick to argue or fight; aggressively defiant.,,The truculent official refused to answer even the simplest question.,,,,,ঝগড়াটে ও আক্রমণাত্মক; সামান্য কারণেই বিবাদে জড়িয়ে পড়ে এমন।,,,,,1
30,Querulous,1,Adjective,,,,,,,,,,,,,1
30,Cantankerous,1,Adjective,,,,,,,,,,,,,3
-30,Affable,1,Adjective,"Friendly, good-natured, and easy to talk to.",,,,,,,,,,,,0
-30,Amiable,1,Adjective,Having a friendly and pleasant manner.,,"She was amiable with everyone, never seeming to have a bad day.",,,,,,,,,,0
31,Venerate,1,Transitive Verb,To regard with great respect and reverence.,,The community venerated the elder for her wisdom and patience.,,,,,গভীর শ্রদ্ধা করা।,,,,,1
31,Revere,1,Transitive Verb,,,,,,,,,,,,,0
31,Idolise,1,Transitive Verb,To admire or love someone to excess; to worship as an idol.,,She idolised her older sister until adulthood brought perspective.,,,,,,,,,,0
-31,Despise,1,Transitive Verb,To feel contempt for; to regard as worthless or beneath one.,,She despised dishonesty above all other failings.,,,,,,,,,,0
-31,Disdain,1,Transitive Verb,,,,,,,,,,,,,0
32,Ameliorate,1,Transitive Verb,To make something bad or unsatisfactory better.,,Targeted investment can ameliorate the worst effects of poverty.,,,,,কোনো খারাপ পরিস্থিতি ভালো করা বা উন্নত করা।,সঠিক নীতি বাস্তবায়ন করলে দারিদ্র্যের ভয়াবহতা অনেকটাই কমানো সম্ভব।,,,,1
32,Mitigate,1,Transitive Verb,"To make less severe, serious, or painful.",,,,,,,,,,,,0
32,Alleviate,1,Transitive Verb,,,,,,,,,,,,,0
-32,Exacerbate,1,Transitive Verb,To make an existing problem or bad situation worse.,,Rushing the decision would only exacerbate the underlying tension.,,,,,,,,,,0
