NumId,Word,Category,Role,Definition1,Definition2,Example1,Example2,Example3,Example4,Example5,BengaliDef,BengaliEx1,BengaliEx2,BengaliEx3,RefWord,Level
-32,Aggravate,1,Transitive Verb,To make a problem or offence worse or more serious.,,Scratching it will only aggravate the rash further.,,,,,,,,,,0
33,Ephemeral,1,Adjective,Lasting for a very short time; transitory.,,Fame in the digital age is often ephemeral â a week and it is gone.,,,,,ক্ষণস্থায়ী; যা খুব অল্প সময়ের জন্য থাকে।,,,,,1
33,Transient,1,Adjective,Lasting only for a short time; passing.,,"His happiness felt transient, like sunlight breaking through cloud.",,,,,ক্ষণিক; বেশিক্ষণ থাকে না এমন।,,,,,0
33,Fleeting,1,Adjective,Lasting for a very short time.,,She caught only a fleeting glimpse of the figure before it vanished.,,,,,,,,,,0
-33,Enduring,1,Adjective,,,,,,,,,,,,,0
-33,Perpetual,1,Adjective,,,,,,,,,,,,,0
34,Beat around the bush,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,,,,,,,,,,,0
34,Talk in circles,2,Idiomatic Expression,To keep discussing something without making progress or reaching a conclusion.,,,,,,,,,,,,3
-34,Get straight to the point,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,"She got straight to the point, which everyone in the room appreciated.",,,,,,,,,,0
-34,Cut to the chase,2,Idiomatic Expression,To get to the most important part of something without delay.,,Cut to the chase â do we have the funding or not?,,,,,,,,,,3
35,Pull one's weight,2,Idiomatic Expression,,,,,,,,,,,,,0
35,Give it one's all,2,Idiomatic Expression,,,,,,,,,,,,,0
-35,Cut corners,2,Idiomatic Expression,,,,,,,,,,,,,3
-35,Drag one's feet,2,Idiomatic Expression,To act slowly or reluctantly; to delay doing something.,,He had been dragging his feet on the application for months.,,,,,,,,,,3
36,Come across,3,Phrasal Verb,,,,,,,,,,,,,0
36,Run into,3,Phrasal Verb,To meet someone unexpectedly.,To encounter a problem or obstacle.,I ran into my old professor at the conference.,The project ran into serious funding issues in the third quarter.,,,,,,,,,0
-36,Seek out,3,Phrasal Verb,,,,,,,,,,,,,0
37,Look into,3,Phrasal Verb,To investigate or examine something.,,The committee agreed to look into the matter before the next session.,,,,,,,,,,0
37,Look up,3,Phrasal Verb,To search for information in a reference source.,To visit someone after a period of absence.,Look up the word if you are unsure of its meaning.,She promised to look him up the next time she was in the city.,,,,,,,,,0
37,Look down on,3,Phrasal Verb,,,,,,,,,,,,,0
-37,Look up to,3,Phrasal Verb,To admire and respect someone.,,,,,,,,,,,,0
38,Break down,3,Phrasal Verb,To stop functioning; to fail mechanically or emotionally.,To analyse or explain something in detail.,The car broke down just ten minutes into the journey.,We need to break down the costs before we can decide.,,,,,,,,,0
38,Break out,3,Phrasal Verb,To escape from a place; to start suddenly.,,,,,,,,,,,,0
-38,Build up,3,Phrasal Verb,,,,,,,,,,,,,0
39,Obsessed with,3,Appropriate Preposition,,,,,,,,,,,,,0
39,Preoccupied with,3,Appropriate Preposition,The correct preposition following 'preoccupied'.,,He seemed permanently preoccupied with what others thought of him.,,,,,,,,,,0
39,Absorbed in,3,Appropriate Preposition,The correct preposition following 'absorbed'.,,,,,,,,,,,,0
40,Asperity,1,Common Noun,Harshness of tone or manner.,,She replied with an asperity that silenced the room.,,,,,,,,,,1
40,Acrimony,1,Common Noun,,,,,,,,,,,,,1
40,Tartness,1,Common Noun,The quality of being sharp or cutting in manner or tone.,,There was a tartness in her reply that he had not expected.,,,,,,,,,,2
-40,Cordiality,1,Common Noun,Warm and friendly quality; geniality.,,The cordiality of their welcome made us feel immediately at home.,,,,,,,,,,1
-40,Warmth,1,Common Noun,,,,,,,,,,,,,0
41,Diffident,1,Adjective,,,,,,,,,,,,,0
41,Bashful,1,Adjective,Reluctant to draw attention to oneself; shy.,,He gave a bashful smile and looked away.,,,,,,,,,,3
41,Meek,1,Adjective,"Quiet, gentle, and easily imposed on.",,,,,,,,,,,,0
-41,Assertive,1,Adjective,Confident and direct in claiming rights or putting forward views.,,Learning to be assertive was the most valuable thing she did that year.,,,,,,,,,,0
-41,Domineering,1,Adjective,,,,,,,,,,,,,0
42,Reproach,1,Transitive Verb,To express disapproval or disappointment to someone.,,She reproached herself for not having said something sooner.,,,,,তিরস্কার করা বা কারো প্রতি হতাশা প্রকাশ করা।,নিজেকেই সে বারবার তিরস্কার করছিল কেন আগে কথা বলেনি।,"তিরস্কারের ভঙ্গিটা সহানুভূতিশীল ছিল, শাস্তিমূলক নয়।",,,0
42,Rebuke,1,Transitive Verb,To express sharp disapproval or criticism of someone.,,The judge rebuked the lawyer for his unprofessional conduct.,,,,,তীব্রভাবে ভর্ৎসনা করা; কারো অন্যায় আচরণের বিরুদ্ধে কঠোর প্রতিক্রিয়া দেওয়া।,বিচারক আইনজীবীকে তার অপেশাদার আচরণের জন্য তীব্রভাবে ভর্ৎসনা করলেন।,প্রকাশ্যে ভর্ৎসিত হওয়া তার আত্মসম্মানে বড় আঘাত ছিল।,,,0
42,Reprimand,1,Transitive Verb,To formally express disapproval of someone's conduct.,,He was reprimanded but kept his job â just barely.,,,,,,,,,,2
42,Censure,1,Transitive Verb,,,,,,,,,,,,,2
-42,Commend,1,Transitive Verb,,,,,,,,,,,,,0
-42,Laud,1,Transitive Verb,"To praise highly, especially in a public context.",,,,,,,,,,,,1
43,Credulous,1,Adjective,Having too great a readiness to believe things without evidence.,,He was so credulous that he believed every piece of gossip he heard.,,,,,সহজবিশ্বাসী; প্রমাণ ছাড়াই যেকোনো কথা বিশ্বাস করে ফেলেন এমন।,এত সহজবিশ্বাসী হলে চলে না — সবার কথায় আস্থা রাখলে ঠকতে হয়।,,,,1
43,Gullible,1,Adjective,Easily persuaded to believe something; naively trusting.,,Only the most gullible reader would accept that explanation.,,,,,,,,,,0
43,Naive,1,Adjective,"Showing a lack of experience, wisdom, or judgement.",,It was naive to think the contract would protect them.,,,,,,,,,,0
-43,Sceptical,1,Adjective,Not easily convinced; having doubts or reservations.,,,,,,,,,,,,0
-43,Cynical,1,Adjective,,,,,,,,,,,,,0
-43,Wary,1,Adjective,Feeling or showing caution about possible dangers or problems.,,,,,,,,,,,,0
44,Dilapidated,1,Adjective,In a state of disrepair or ruin as a result of age or neglect.,,The dilapidated building had been left untouched for thirty years.,,,,,,,,,,0
44,Decrepit,1,Adjective,Worn out or ruined by age or neglect.,,The decrepit machinery was a liability rather than an asset.,,,,,,,,,,0
44,Ramshackle,1,Adjective,In a state of severe disrepair; poorly constructed.,,They sheltered in a ramshackle shed while the storm passed.,,,,,,,,,,3
-44,Pristine,1,Adjective,"In its original, unspoiled condition; perfectly clean.",,The documents were in pristine condition despite their age.,,,,,,,,,,0
-44,Immaculate,1,Adjective,"Perfectly clean, neat, or tidy.",,"She arrived looking immaculate, as though the journey had not happened.",,,,,,,,,,0
45,Nonchalant,1,Adjective,Feeling or appearing casually calm and relaxed; not displaying anxiety.,,"He was nonchalant about the whole affair, which irritated everyone.",,,,,"ভাবলেশহীন, নির্লিপ্ত; কিছু হলেও যেন কিছুই যায়-আসে না এমন ভাব।",,,,,1
45,BlasÃ©,1,Adjective,Unimpressed by or indifferent to something because one has seen it all before.,,,,,,,,,,,,1
45,Sanguine,1,Adjective,"Optimistic, especially in a difficult situation; positive about outcomes.",,,,,,,,,,,,1
-45,Anxious,1,Adjective,,,,,,,,,,,,,0
-45,Agitated,1,Adjective,,,,,,,,,,,,,0
46,Peevish,1,Adjective,"Easily irritated, especially by trivial things; childishly sulky.",,She grew peevish when lunch was delayed even by a few minutes.,,,,,সামান্য কারণেই বিরক্ত হয়ে যান এমন; খিটখিটে মেজাজের।,সে সারাদিন এত খিটখিটে ছিল যে কেউ কাছে আসতে সাহস করেনি।,ক্লান্তি হলে মানুষ প্রায়ই খিটখিটে হয়ে পড়েন।,তার খিটখিটে মেজাজ সবাইকে এড়িয়ে চলতে বাধ্য করেছিল।,,3
46,Petulant,1,Adjective,Childishly sulky or bad-tempered.,,His petulant refusal to cooperate held up the entire project.,,,,,,,,,,1
46,Irascible,1,Adjective,Having or showing a tendency to become easily angered.,,The irascible professor was avoided by most first-year students.,,,,,,,,,,1
-46,Equanimous,1,Adjective,"Calm and composed, especially in difficult situations.",,,,,,,,,,,,1
-46,Stoic,1,Adjective,Enduring pain or hardship without complaining or showing emotion.,,,,,,,,,,,,0
-46,Imperturbable,1,Adjective,Unable to be upset or excited; calm at all times.,,An imperturbable temperament is a considerable advantage in negotiations.,,,,,,,,,,1
47,Prodigal,1,Adjective,,,,,,,,,,,,,1
47,Profligate,1,Adjective,Recklessly extravagant or wasteful in the use of resources.,,The profligate spending of the previous administration left nothing in reserve.,,,,,,,,,,1
47,Improvident,1,Adjective,Not providing for future needs; not thinking ahead financially.,,,,,,,,,,,,1
-47,Thrifty,1,Adjective,,,,,,,,,,,,,0
-47,Prudent,1,Adjective,Acting with care and thought for the future; not wasteful.,,,,,,,,,,,,0
48,Verbose,1,Adjective,Using or expressed in more words than are needed.,,His verbose reports were famous for containing very little actual information.,,,,,প্রয়োজনের চেয়ে অনেক বেশি কথা বলা বা লেখার অভ্যাস।,,,,,1
48,Prolix,1,Adjective,Using too many words; tediously lengthy.,,The prolix memo could have been a single sentence.,,,,,,,,,,1
48,Rambling,1,Adjective,Lengthy and confused; straying from the main subject.,,His rambling speech tested the patience of even his supporters.,,,,,,,,,,3
-48,Concise,1,Adjective,Giving a lot of information clearly and in a few words.,,Her concise summary saved the committee a great deal of time.,,,,,,,,,,0
-48,Pithy,1,Adjective,,,,,,,,,,,,,1
-48,Succinct,1,Adjective,Briefly and clearly expressed.,,He gave a succinct reply that answered the question without elaborating.,,,,,,,,,,0
49,Magnify,1,Transitive Verb,To make something appear larger; to increase the apparent size of.,To exaggerate the importance of something.,A microscope magnifies objects too small to see with the naked eye.,The media tended to magnify every minor setback into a crisis.,,,,,,,,,0
49,Amplify,1,Transitive Verb,,,,,,,,,,,,,0
49,Exaggerate,1,Transitive Verb,"To represent something as being larger, better, or worse than it really is.",,She had a tendency to exaggerate difficulties to gain sympathy.,,,,,,,,,,0
-49,Minimise,1,Transitive Verb,,,,,,,,,,,,,0
-49,Understate,1,Transitive Verb,To express or describe something as being smaller or less significant than it is.,,To say the review was unkind would be to understate matters considerably.,,,,,,,,,,0
50,Nefarious,1,Adjective,Wicked or criminal in nature; iniquitous.,,The nefarious plot was uncovered before it could cause real harm.,,,,,,,,,,1
50,Villainous,1,Adjective,Wicked; evil; characteristic of a villain.,,The villainous deception was exposed in court.,,,,,,,,,,0
50,Iniquitous,1,Adjective,,,,,,,,,,,,,1
-50,Virtuous,1,Adjective,Having or showing high moral standards.,,"He was virtuous in his dealings, which was rare in that industry.",,,,,,,,,,0
-50,Righteous,1,Adjective,,,,,,,,,,,,,0
51,Impede,1,Transitive Verb,To delay or prevent progress by obstructing.,,Bureaucracy continues to impede the delivery of aid.,,,,,বাধা দেওয়া; অগ্রগতি থামিয়ে দেওয়া।,,,,,0
51,Hinder,1,Transitive Verb,To make it difficult for someone to do something or for something to happen.,,Poor weather hindered their progress across the mountain.,,,,,,,,,,0
51,Hamper,1,Transitive Verb,To hinder or impede the movement or progress of.,,The lack of funding hampered the research at every stage.,,,,,,,,,,0
51,Encumber,1,Transitive Verb,,,,,,,,,,,,,1
-51,Facilitate,1,Transitive Verb,To make an action or process easier.,,The new software facilitates the sharing of documents across teams.,,,,,,,,,,0
-51,Expedite,1,Transitive Verb,To make something happen sooner or more quickly.,,The director intervened personally to expedite the approval.,,,,,,,,,,1
52,Copious,1,Adjective,,,,,,,,,,,,,0
52,Profuse,1,Adjective,,,,,,,,,,,,,0
52,Plentiful,1,Adjective,Existing in or yielding great quantities; abundant.,,Food was plentiful at the harvest festival.,,,,,,,,,,0
-52,Meagre,1,Adjective,Lacking in quantity or quality; insufficient.,,The meagre salary was barely enough to cover basic expenses.,,,,,,,,,,0
-52,Scanty,1,Adjective,Small or insufficient in quantity or extent.,,Scanty evidence made a conviction almost impossible.,,,,,,,,,,1
-52,Sparse,1,Adjective,,,,,,,,,,,,,0
53,Throw oneself into,2,Idiomatic Expression,To begin doing something with great enthusiasm and energy.,,,,,,,,,,,,0
53,Go the extra mile,2,Idiomatic Expression,To make more effort than is required.,,,,,,,,,,,,0
-53,Go through the motions,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,"By the third year, he was just going through the motions.",,,,,,,,,,3
54,Bite the bullet,2,Idiomatic Expression,,,,,,,,,,,,,3
54,Take the plunge,2,Idiomatic Expression,,,,,,,,,,,,,3
-54,Play it safe,2,Idiomatic Expression,To act cautiously; to avoid unnecessary risk.,,,,,,,,,,,,0
-54,Sit on the fence,2,Idiomatic Expression,,,,,,,,,,,,,3
55,Turn down,3,Phrasal Verb,"To reject an offer, request, or person.","To reduce the volume, heat, or level of something.",She turned down two promotions before accepting the third.,Turn down the music â the neighbours are complaining.,,,,,,,,,0
55,Turn over,3,Phrasal Verb,To hand something to someone in authority.,To start an engine.,,,,,,,,,,,0
-55,Take up,3,Phrasal Verb,To begin a new hobby or activity.,To accept an offer or challenge.,She took up running after the doctor's advice.,He took up the challenge without hesitation.,,,,,,,,,0
56,Give up,3,Phrasal Verb,,,,,,,,,,,,,0
56,Give away,3,Phrasal Verb,,,,,,,,,,,,,0
-56,Hold on,3,Phrasal Verb,,,,,,,,,,,,,3
57,Set back,3,Phrasal Verb,To delay or obstruct the progress of something.,,,,,,,,,,,,0
57,Set off,3,Phrasal Verb,,,,,,,,,,,,,0
-57,Catch up,3,Phrasal Verb,,,,,,,,,,,,,0
58,Accuse of,3,Appropriate Preposition,The correct preposition following 'accuse'.,,He was accused of negligence by the investigating board.,,,,,,,,,,0
58,Charged with,3,Appropriate Preposition,The correct preposition following 'charged' in a legal context.,,She was charged with misappropriation of funds.,,,,,,,,,,2
58,Guilty of,3,Appropriate Preposition,The correct preposition following 'guilty'.,,,,,,,,,,,,0
58,Acquitted of,3,Appropriate Preposition,The correct preposition following 'acquitted'.,,She was acquitted of all charges and walked free.,,,,,,,,,,2
59,Indifferent to,3,Appropriate Preposition,The correct preposition following 'indifferent'.,,"He was largely indifferent to criticism, which unnerved his detractors.",,,,,,,,,,0
59,Averse to,3,Appropriate Preposition,,,,,,,,,,,,,1
59,Immune to,3,Appropriate Preposition,,,,,,,,,,,,,0
59,Prone to,3,Appropriate Preposition,The correct preposition following 'prone'.,,,,,,,,,,,,0
60,Eloquent,1,Adjective,Fluent or persuasive in speaking or writing.,,Her eloquent plea moved even the most resistant members of the panel.,,,,,বাগ্মী; সুন্দর ও প্রভাবশালীভাবে কথা বলতে বা লিখতে পারেন এমন।,তার বাগ্মিতা শ্রোতাদের মনে গভীর ছাপ ফেলেছিল।,,,,0
60,Articulate,1,Adjective,Having or showing the ability to speak fluently and coherently.,,He was the most articulate speaker the party had fielded in years.,,,,,,,,,,0
60,Lucid,1,Adjective,,,,,,,,,,,,,0
-60,Incoherent,1,Adjective,Expressed in a confusing way that is difficult to understand.,,The argument was incoherent â full of assertions with no evidence.,,,,,,,,,,0
-60,Inarticulate,1,Adjective,,,,,,,,,,,,,0
61,Placate,1,Transitive Verb,To make someone less angry or hostile; to appease.,,A brief apology was enough to placate the angry customer.,,,,,রাগ বা ক্ষোভ প্রশমিত করা।,,,,,0
61,Appease,1,Transitive Verb,,,,,,,,,,,,,0
61,Mollify,1,Transitive Verb,,,,,,,,,,,,,1
-61,Antagonise,1,Transitive Verb,,,,,,,,,,,,,0
-61,Provoke,1,Transitive Verb,"To stimulate a reaction, especially an angry one.",,,,,,,,,,,,0
62,Revive,1,Transitive Verb,"To restore to life, consciousness, or vigour.",,The rain revived the withered garden almost immediately.,,,,,,,,,,0
62,Resuscitate,1,Transitive Verb,To restore to consciousness or life.,To make active or vigorous again.,,,,,,,,,,,1
62,Rejuvenate,1,Transitive Verb,To make someone or something look or feel younger or more vigorous.,,A change of leadership rejuvenated the entire organisation.,,,,,,,,,,0
-62,Exhaust,1,Transitive Verb,To use up completely; to deplete entirely.,,Years of conflict had exhausted the country's reserves.,,,,,,,,,,0
-62,Deplete,1,Transitive Verb,"To reduce severely in quantity, quality, or number.",,Overfishing had seriously depleted the coastal fish stocks.,,,,,,,,,,0
63,Innocuous,1,Adjective,Not harmful or offensive; harmless.,,What seemed like an innocuous comment triggered an unexpected response.,,,,,নিরীহ; যা কোনো ক্ষতি করে না বা করার সম্ভাবনা নেই।,"মন্তব্যটা নিরীহ মনে হয়েছিল, কিন্তু সবাই তাতে লুকানো বিদ্রূপ খুঁজে পেল।",নিরীহ দেখতে মানুষটাই সবচেয়ে বেশি ক্ষতি করেছিল।,,,1
63,Inoffensive,1,Adjective,,,,,,,,,,,,,0
-63,Insidious,1,Adjective,,,,,,,,,,,,,1
-63,Malicious,1,Adjective,Characterised by malice; intending or intended to do harm.,,The malicious gossip had caused her years of professional damage.,,,,,,,,,,0
64,Wane,1,Intransitive Verb,"To decrease in vigour, power, or extent; to decline.",,Public enthusiasm for the project began to wane after the first year.,,,,,ক্রমশ কমতে থাকা; শক্তি বা প্রভাব হারানো।,,,,,0
64,Ebb,1,Intransitive Verb,,,,,,,,,,,,,0
64,Diminish,1,Transitive Verb,To make or become less; to lessen or reduce.,,Nothing could diminish her pride in what they had accomplished.,,,,,,,,,,0
-64,Wax,1,Intransitive Verb,,,,,,,,,,,,,1
-64,Surge,1,Intransitive Verb,To increase suddenly and powerfully.,,Support surged after the television interview.,,,,,,,,,,0
65,Coerce,1,Transitive Verb,To persuade someone to do something by using force or threats.,,She felt coerced into signing the agreement under duress.,,,,,ভয় দেখিয়ে বা জোর করে কাউকে কিছু করতে বাধ্য করা।,সাক্ষীকে জোর করে সাক্ষ্য দিতে বাধ্য করা হয়েছিল বলে অভিযোগ উঠেছিল।,,,,0
65,Compel,1,Transitive Verb,To force or oblige someone to do something.,,The new regulation compels all suppliers to disclose their sources.,,,,,,,,,,0
65,Intimidate,1,Transitive Verb,"To frighten or overawe someone, especially to make them do what one wants.",,He tried to intimidate witnesses before the case went to court.,,,,,,,,,,0
-65,Persuade,1,Transitive Verb,To induce someone to do something through reasoning or argument.,,She persuaded the reluctant committee with carefully marshalled facts.,,,,,,,,,,0
-65,Coax,1,Transitive Verb,To persuade someone gradually or by flattery to do something.,,He coaxed a confession with patience rather than pressure.,,,,,,,,,,3
66,Indolent,1,Adjective,Avoiding activity or exertion; lazy.,,His indolent approach to the first term nearly cost him the year.,,,,,অলস; কাজকর্মে অনীহা।,,,,,1
66,Slothful,1,Adjective,Lazy; showing a disinclinaton to work or make an effort.,,She was not slothful â she was simply selective about her energy.,,,,,,,,,,1
66,Idle,1,Adjective,Avoiding work; not active or in use.,,,,,,,,,,,,0
-66,Industrious,1,Adjective,,,,,,,,,,,,,0
-66,Assiduous,1,Adjective,,,,,,,,,,,,,1
67,Sagacious,1,Adjective,Having or showing keen mental discernment and good judgement.,,His sagacious assessment of the situation was proven right within months.,,,,,বিচক্ষণ; গভীর প্রজ্ঞা ও সূক্ষ্ম বিচারবোধ সম্পন্ন।,,,,,1
67,Astute,1,Adjective,Having an ability to assess accurately and cleverly.,,,,,,,,,,,,0
67,Shrewd,1,Adjective,,,,,,,,,,,,,0
67,Discerning,1,Adjective,Having or showing good judgement; perceptive.,,A discerning reader will notice the layers beneath the simple prose.,,,,,,,,,,0
-67,Obtuse,1,Adjective,Annoyingly insensitive or slow to understand.,,"He was being deliberately obtuse, she was certain of it.",,,,,,,,,,1
-67,Vacuous,1,Adjective,Having or showing a lack of thought or intelligence; mindless.,,The vacuous reply revealed he had not read the briefing at all.,,,,,,,,,,1
68,Laborious,1,Adjective,,,,,,,,,,,,,0
68,Arduous,1,Adjective,Involving or requiring strenuous effort; difficult and tiring.,,,,,,,,,,,,0
68,Onerous,1,Adjective,Involving an amount of effort that is oppressively burdensome.,,The onerous terms of the contract effectively trapped the smaller party.,,,,,,,,,,1
-68,Effortless,1,Adjective,Requiring no physical or mental exertion; achieved without difficulty.,,Her effortless performance made the most difficult passages look simple.,,,,,,,,,,0
-68,Facile,1,Adjective,Appearing effortless; achieved without difficulty.,Ignoring the complexities of an issue; simplistic.,,,,,,,,,,,1
69,Terse,1,Adjective,,,,,,,,,,,,,0
69,Curt,1,Adjective,,,,,,,,,,,,,0
69,Brusque,1,Adjective,Abrupt or offhand in manner; somewhat rude.,,His brusque manner was mistaken for arrogance by those who didn't know him.,,,,,,,,,,1
-69,Expansive,1,Adjective,Covering a wide area; covering a wide range of subjects; open and communicative.,,"She was expansive in her reply, covering every angle of the question.",,,,,,,,,,0
-69,Effusive,1,Adjective,"Expressing gratitude, pleasure, or approval in an unrestrained way.",,"He was effusive in his praise, perhaps excessively so.",,,,,,,,,,1
70,Indiscriminate,1,Adjective,Done at random or without careful judgement.,,,,,,,,,,,,1
70,Haphazard,1,Adjective,Lacking any obvious principle of organisation; random.,,,,,,,,,,,,0
70,Arbitrary,1,Adjective,"Based on random choice or personal whim, not reason.",,The arbitrary decision to exclude certain applicants was never explained.,,,,,,,,,,0
-70,Deliberate,1,Adjective,Done consciously and intentionally; carefully considered.,,Every step of the plan was deliberate and fully considered.,,,,,,,,,,0
-70,Methodical,1,Adjective,Done according to a systematic or established procedure.,,,,,,,,,,,,0
71,Perspicacious,1,Adjective,Having a ready insight into things; of keen understanding.,,A perspicacious analyst would have spotted the discrepancy immediately.,,,,,,,,,,1
71,Perceptive,1,Adjective,Having or showing sensitive insight; astute.,,Her perceptive question cut straight to the heart of the matter.,,,,,,,,,,0
71,Insightful,1,Adjective,Having or showing an accurate and deep understanding.,,,,,,,,,,,,0
-71,Imperceptive,1,Adjective,Lacking the ability to perceive or understand; slow to notice.,,,,,,,,,,,,1
-71,Dense,1,Adjective,Stupid; not quick to understand.,,,,,,,,,,,,3
72,Take to task,2,Idiomatic Expression,To reprimand or criticise someone for a fault or shortcoming.,,The manager took him to task for missing the deadline without notice.,,,,,,,,,,0
72,Read the riot act,2,Idiomatic Expression,To firmly warn someone that their behaviour is unacceptable.,,She read the riot act to the team after the third consecutive failure.,,,,,,,,,,3
-72,Let off the hook,2,Idiomatic Expression,,,,,,,,,,,,,3
-72,Turn a blind eye,2,Idiomatic Expression,To pretend not to notice something; to ignore intentionally.,,Management had been turning a blind eye to the misconduct for months.,,,,,,,,,,0
73,Futile,1,Adjective,Incapable of producing any useful result; pointless.,,It was futile to argue with someone who had already made up their mind.,,,,,নিষ্ফল; কোনো ফল দেয় না এমন।,,,,,0
73,Fruitless,1,Adjective,,,,,,,,,,,,,0
73,Abortive,1,Adjective,Failing to produce the intended result; unsuccessful.,,An abortive attempt to mediate left relations worse than before.,,,,,,,,,,1
-73,Productive,1,Adjective,Achieving a significant amount; having a useful result.,,It was the most productive meeting they had held in months.,,,,,,,,,,0
-73,Fruitful,1,Adjective,Producing good or helpful results; productive.,,"The collaboration proved fruitful, yielding three published papers.",,,,,,,,,,0
74,Capricious,1,Adjective,Given to sudden and unaccountable changes of mood or behaviour.,,Her capricious decisions made long-term planning almost impossible.,,,,,খামখেয়ালি; কোনো কারণ ছাড়াই মেজাজ ও সিদ্ধান্ত পরিবর্তন করেন এমন।,তার খামখেয়ালি স্বভাবের কারণে কেউ বুঝতে পারত না পরবর্তী পদক্ষেপ কী হবে।,,,,1
74,Erratic,1,Adjective,Not even or regular in pattern; unpredictable.,,His erratic form made him a risk for any team seeking consistency.,,,,,,,,,,0
74,Mercurial,1,Adjective,Subject to sudden or unpredictable changes in mood.,,His mercurial temperament was both his strength and his weakness.,,,,,,,,,,1
-74,Consistent,1,Adjective,Acting or done in the same way over time; unchanging.,,"She was consistent in her approach, which earned her the team's trust.",,,,,,,,,,0
-74,Steadfast,1,Adjective,Resolutely firm and unwavering.,,,,,,,,,,,,0
75,Supercilious,1,Adjective,,,,,,,,,,,,,1
75,Haughty,1,Adjective,Arrogantly superior and disdainful.,,She looked at us with a haughty contempt that made further conversation pointless.,,,,,উদ্ধত; নিজেকে অন্যদের চেয়ে উঁচু মনে করে অবজ্ঞার সাথে আচরণ করেন এমন।,তার উদ্ধত ভাব দেখে মনে হতো তিনি সবাইকে নিজের চেয়ে ছোট মনে করেন।,এত উদ্ধত হলে মানুষ কাছে আসতে চায় না।,,,0
75,Imperious,1,Adjective,Assuming power or authority without justification; arrogantly domineering.,,,,,,,,,,,,1
75,Disdainful,1,Adjective,Showing contempt or lack of respect; scornful.,,She was disdainful of any effort that fell short of perfection.,,,,,,,,,,0
-75,Deferential,1,Adjective,Showing respect and submission to another's authority.,,He was deferential to senior colleagues without being obsequious.,,,,,,,,,,1
-75,Respectful,1,Adjective,Feeling or showing deference and respect.,,The students were respectful of their teachers even outside the classroom.,,,,,,,,,,0
76,Disparage,1,Transitive Verb,To regard or represent as being of little worth; to belittle.,,"He disparaged her early work, which she never entirely forgave.",,,,,,,,,,0
76,Belittle,1,Transitive Verb,,,,,,,,,,,,,0
76,Denigrate,1,Transitive Verb,,,,,,,,,,,,,1
-76,Exalt,1,Transitive Verb,To hold someone or something in very high regard; to praise.,,The ceremony was designed to exalt the founders of the institution.,,,,,,,,,,0
-76,Glorify,1,Transitive Verb,To praise and worship; to represent in an idealised way.,,The biography glorified its subject without acknowledging any flaws.,,,,,,,,,,0
77,Catch red-handed,2,Idiomatic Expression,To catch someone in the very act of doing something wrong.,,,,,,,,,,,,3
77,In broad daylight,2,Idiomatic Expression,"Done openly and without concealment, during the day.",,,,,,,,,,,,0
